User_ID,Age,Gender,City,Subscription_Type,Device,Content_Title,Category,Watch_Time_Minutes,Revenue_INR,Date,Subscription_Status
5000,57,Male,Ahmedabad,Mobile,Mobile,Action Movie,Movies,214,149,2025-06-29,Active
5001,27,Male,Pune,Mobile,Tablet,Kids Fun,Kids,196,149,2025-04-06,Active
5002,27,Male,Mumbai,Free,Smart TV,Football Live,Sports,214,0,2025-02-13,Cancelled
5003,41,Female,Bengaluru,Premium,Tablet,Web Series X,Web Series,67,499,2025-02-21,Active
5004,61,Male,Coimbatore,Super,Tablet,Bollywood Movies,Movies,197,0,2025-06-24,Cancelled
5005,39,Male,Madurai,Mobile,Laptop/Desktop,Tamil Series,Web Series,6,0,2025-07-18,Cancelled
5006,54,Female,Pune,Free,Mobile,Bollywood Movies,Movies,6,0,2025-02-22,Active
5007,34,Female,Madurai,Free,Laptop/Desktop,Tamil Series,Web Series,174,0,2025-03-17,Cancelled
5008,61,Female,Madurai,Premium,Tablet,Bollywood Movies,Movies,293,499,2025-11-14,Active
5009,59,Male,Coimbatore,Premium,Mobile,Kids Fun,Kids,258,0,2025-12-10,Active
5010,39,Female,Chennai,Premium,Laptop/Desktop,Reality Show,TV Shows,26,499,2025-11-18,Active
5011,63,Male,Pune,Super,Laptop/Desktop,Bollywood Movies,Movies,292,299,2025-07-01,Active
5012,39,Male,Hyderabad,Super,Tablet,Football Live,Sports,185,299,2025-07-13,Cancelled
5013,22,Male,Coimbatore,Super,Tablet,Tamil Series,Web Series,126,299,2025-12-06,Active
5014,26,Female,Madurai,Free,Mobile,Reality Show,TV Shows,207,0,2025-11-24,Cancelled
5015,46,Female,Kolkata,Super,Tablet,Action Movie,Movies,112,299,2025-03-25,Cancelled
5016,62,Female,Ahmedabad,Premium,Laptop/Desktop,Action Movie,Movies,147,499,2025-03-22,Active
5017,53,Male,Ahmedabad,Premium,Tablet,Web Series X,Web Series,240,499,2025-04-07,Cancelled
5018,42,Male,Kolkata,Super,Tablet,Kids Fun,Kids,106,299,2025-03-11,Active
5019,35,Male,Mumbai,Mobile,Mobile,Web Series X,Web Series,244,0,2025-12-31,Cancelled
5020,64,Female,Delhi,Premium,Smart TV,Tamil Series,Web Series,120,499,2025-11-28,Active
5021,22,Female,Kolkata,Free,Mobile,Cricket Live,Sports,53,0,2025-03-31,Cancelled
5022,28,Male,Madurai,Free,Laptop/Desktop,Tamil Series,Web Series,36,0,2025-02-28,Cancelled
5023,62,Male,Ahmedabad,Free,Tablet,Bollywood Movies,Movies,256,0,2025-08-01,Cancelled
5024,65,Female,Delhi,Free,Tablet,IPL Highlights,Sports,273,0,2025-04-22,Active
5025,46,Female,Bengaluru,Premium,Smart TV,Drama Show,TV Shows,186,499,2025-10-03,Cancelled
5026,35,Female,Coimbatore,Free,Laptop/Desktop,Drama Show,TV Shows,264,0,2025-06-22,Active
5027,62,Male,Ahmedabad,Super,Smart TV,Football Live,Sports,8,0,2025-08-23,Cancelled
5028,37,Female,Mumbai,Premium,Tablet,Reality Show,TV Shows,45,0,2025-01-10,Cancelled
5029,38,Male,Madurai,Premium,Smart TV,Web Series X,Web Series,67,499,2025-11-09,Active
5030,45,Female,Pune,Mobile,Laptop/Desktop,Web Series X,Web Series,102,149,2025-07-19,Cancelled
5031,53,Female,Pune,Mobile,Mobile,Football Live,Sports,30,149,2025-02-22,Active
5032,47,Male,Mumbai,Free,Tablet,Cricket Live,Sports,217,0,2025-01-15,Active
5033,52,Male,Kolkata,Premium,Laptop/Desktop,Bollywood Movies,Movies,294,499,2025-05-15,Cancelled
5034,34,Female,Coimbatore,Free,Smart TV,Kids Fun,Kids,63,0,2025-02-07,Cancelled
5035,65,Male,Bengaluru,Super,Laptop/Desktop,Reality Show,TV Shows,161,299,2025-02-27,Cancelled
5036,29,Female,Coimbatore,Super,Laptop/Desktop,Bollywood Movies,Movies,68,0,2025-08-03,Cancelled
5037,55,Female,Mumbai,Premium,Laptop/Desktop,Action Movie,Movies,49,499,2025-01-29,Active
5038,33,Male,Chennai,Free,Laptop/Desktop,Drama Show,TV Shows,209,0,2025-06-05,Active
5039,39,Male,Chennai,Super,Mobile,Reality Show,TV Shows,81,299,2025-10-24,Active
5040,37,Male,Coimbatore,Mobile,Tablet,Cricket Live,Sports,45,149,2025-12-23,Cancelled
5041,46,Female,Delhi,Premium,Smart TV,Bollywood Movies,Movies,192,499,2025-01-22,Cancelled
5042,39,Male,Coimbatore,Mobile,Mobile,Reality Show,TV Shows,79,149,2025-02-08,Active
5043,57,Female,Ahmedabad,Mobile,Tablet,Drama Show,TV Shows,81,149,2025-10-19,Active
5044,56,Female,Ahmedabad,Super,Tablet,Drama Show,TV Shows,26,299,2025-09-20,Cancelled
5045,31,Female,Coimbatore,Mobile,Smart TV,Reality Show,TV Shows,254,149,2025-01-08,Active
5046,31,Male,Delhi,Free,Tablet,Kids Fun,Kids,18,0,2025-09-07,Cancelled
5047,56,Male,Hyderabad,Free,Smart TV,Bollywood Movies,Movies,40,0,2025-08-29,Cancelled
5048,31,Male,Mumbai,Premium,Tablet,Bollywood Movies,Movies,224,499,2025-03-16,Cancelled
5049,57,Female,Bengaluru,Free,Tablet,Football Live,Sports,118,0,2025-05-11,Cancelled
5050,40,Male,Pune,Premium,Mobile,Action Movie,Movies,149,499,2025-01-26,Cancelled
5051,64,Female,Pune,Super,Tablet,IPL Highlights,Sports,112,0,2025-02-23,Active
5052,48,Female,Mumbai,Premium,Laptop/Desktop,Kids Fun,Kids,279,0,2025-02-10,Active
5053,50,Male,Kolkata,Super,Tablet,Web Series X,Web Series,41,299,2025-07-18,Active
5054,24,Female,Kolkata,Mobile,Mobile,Football Live,Sports,289,149,2025-11-09,Cancelled
5055,30,Female,Delhi,Mobile,Smart TV,Football Live,Sports,101,0,2025-05-12,Cancelled
5056,21,Male,Chennai,Super,Laptop/Desktop,IPL Highlights,Sports,272,299,2025-05-18,Cancelled
5057,43,Male,Delhi,Mobile,Laptop/Desktop,Cricket Live,Sports,111,0,2025-01-20,Active
5058,42,Female,Delhi,Free,Tablet,Bollywood Movies,Movies,257,0,2025-08-31,Active
5059,20,Male,Ahmedabad,Super,Laptop/Desktop,Drama Show,TV Shows,223,299,2025-08-11,Cancelled
5060,51,Female,Chennai,Free,Smart TV,Bollywood Movies,Movies,102,0,2025-08-02,Cancelled
5061,57,Female,Mumbai,Premium,Smart TV,Tamil Series,Web Series,203,0,2025-09-08,Cancelled
5062,59,Male,Coimbatore,Super,Mobile,Reality Show,TV Shows,106,0,2025-10-19,Active
5063,37,Male,Madurai,Premium,Mobile,Action Movie,Movies,203,499,2025-03-01,Active
5064,41,Female,Mumbai,Free,Smart TV,Web Series X,Web Series,190,0,2025-09-05,Active
